Date,Payee,Category,Memo,Outflow,Inflow
07/10/2019,,,FREEAGENT                441314470011 GB,0,"0,00"
07/10/2019,,,FREEAGENT                441314470011 GB,0,"0,00"
04/10/2019,,,OVERGEBOEKT NAAR BEDRIJF,0,"-16,75"
19/09/2019,,,FREEAGENT EDINBURGH GB,"16,75",0
04/09/2019,,,OVERGEBOEKT NAAR BEDRIJF,0,"-16,68"
19/08/2019,,,FREEAGENT EDINBURGH GB,"16,68",0
04/08/2019,,,OVERGEBOEKT NAAR BEDRIJF,0,"-16,47"
19/07/2019,,,FREEAGENT EDINBURGH GB,"16,47",0
04/07/2019,,,OVERGEBOEKT NAAR BEDRIJF,0,"-16,50"
19/06/2019,,,FREEAGENT EDINBURGH GB,"16,50",0
04/06/2019,,,OVERGEBOEKT NAAR BEDRIJF,0,"-16,54"
